Ciudad;Fecha;Gravedad del Accidente;Cantidad;Cantidad_norm
BOGOTA;2014-08-01;SOLO DAÑOS;130;1.671629047512198
BOGOTA;2014-09-01;CON HERIDOS;198;2.5460196262108865
BOGOTA;2014-09-01;CON MUERTOS;7;0.09001079486604144
BOGOTA;2014-09-01;SOLO DAÑOS;445;5.722114816484063
BOGOTA;2014-10-01;CON HERIDOS;1739;22.361253181720866
BOGOTA;2014-10-01;CON MUERTOS;80;1.0286947984690449
BOGOTA;2014-10-01;SOLO DAÑOS;1766;22.708437676204166
BOGOTA;2014-11-01;CON HERIDOS;1580;20.316722269763638
BOGOTA;2014-11-01;CON MUERTOS;123;1.5816182526461566
BOGOTA;2014-11-01;SOLO DAÑOS;1750;22.50269871651036
BOGOTA;2014-12-01;CON HERIDOS;1516;19.4937664309884
BOGOTA;2014-12-01;CON MUERTOS;83;1.0672708534116342
BOGOTA;2014-12-01;SOLO DAÑOS;1816;23.35137192524732
BOGOTA;2015-01-01;CON HERIDOS;1487;18.87347322549688
BOGOTA;2015-01-01;CON MUERTOS;54;0.6853850397961208
BOGOTA;2015-01-01;SOLO DAÑOS;1409;17.88347261245804
BOGOTA;2015-02-01;CON HERIDOS;1754;22.262321477822145
BOGOTA;2015-02-01;CON MUERTOS;49;0.6219234620372207
BOGOTA;2015-02-01;SOLO DAÑOS;1700;21.576936438026024
BOGOTA;2015-03-01;CON HERIDOS;1822;23.12539893534319
BOGOTA;2015-03-01;CON MUERTOS;61;0.774231248658581
BOGOTA;2015-03-01;SOLO DAÑOS;1736;22.033859797890106
BOGOTA;2015-04-01;CON HERIDOS;1733;21.995782851234765
BOGOTA;2015-04-01;CON MUERTOS;77;0.9773082974870612
BOGOTA;2015-04-01;SOLO DAÑOS;1644;20.866166767126344
BOGOTA;2015-05-01;CON HERIDOS;1853;23.518860717448366
BOGOTA;2015-05-01;CON MUERTOS;85;1.0788468219013012
BOGOTA;2015-05-01;SOLO DAÑOS;1658;21.043859184851264
BOGOTA;2015-06-01;CON HERIDOS;1685;21.386551704749326
BOGOTA;2015-06-01;CON MUERTOS;59;0.7488466175550209
BOGOTA;2015-06-01;SOLO DAÑOS;1620;20.561551193883624
BOGOTA;2015-07-01;CON HERIDOS;1890;23.98847639286423
BOGOTA;2015-07-01;CON MUERTOS;70;0.8884620886246011
BOGOTA;2015-07-01;SOLO DAÑOS;1740;22.084629060097225
BOGOTA;2015-08-01;CON HERIDOS;1870;23.734630081828627
BOGOTA;2015-08-01;CON MUERTOS;64;0.812308195313921
BOGOTA;2015-08-01;SOLO DAÑOS;1583;20.091935518467764
BOGOTA;2015-09-01;CON HERIDOS;1861;23.620399241862607
BOGOTA;2015-09-01;CON MUERTOS;65;0.8250005108657009
BOGOTA;2015-09-01;SOLO DAÑOS;1624;20.612320456090742
BOGOTA;2015-10-01;CON HERIDOS;1880;23.861553237346428
BOGOTA;2015-10-01;CON MUERTOS;85;1.0788468219013012
BOGOTA;2015-10-01;SOLO DAÑOS;1770;22.465398526650628
BOGOTA;2015-11-01;CON HERIDOS;1368;17.36308767483506
BOGOTA;2015-11-01;CON MUERTOS;70;0.8884620886246011
BOGOTA;2015-11-01;SOLO DAÑOS;1759;22.325783055581045
BOGOTA;2015-12-01;CON HERIDOS;1463;18.568857652254163
BOGOTA;2015-12-01;CON MUERTOS;89;1.1296160841084213
BOGOTA;2015-12-01;SOLO DAÑOS;1670;21.196166971472625
BOGOTA;2016-01-01;CON HERIDOS;1430;17.91979725315824
BOGOTA;2016-01-01;CON MUERTOS;69;0.8646615457817611
BOGOTA;2016-01-01;SOLO DAÑOS;1306;16.365912736101162
BOGOTA;2016-02-01;CON HERIDOS;1680;21.052628940773317
BOGOTA;2016-02-01;CON MUERTOS;60;0.7518796050276184
BOGOTA;2016-02-01;SOLO DAÑOS;1706;21.378443436285284
BOGOTA;2016-03-01;CON HERIDOS;1646;20.626563831257666
BOGOTA;2016-03-01;CON MUERTOS;85;1.065162773789126
BOGOTA;2016-03-01;SOLO DAÑOS;1772;22.205511001815665
BOGOTA;2016-04-01;CON HERIDOS;1745;21.867165179553236
BOGOTA;2016-04-01;CON MUERTOS;61;0.7644109317780787
BOGOTA;2016-04-01;SOLO DAÑOS;2026;25.38846799643258
BOGOTA;2016-05-01;CON HERIDOS;1820;22.807014685837757
BOGOTA;2016-05-01;CON MUERTOS;80;1.0025061400368245
BOGOTA;2016-05-01;SOLO DAÑOS;2137;26.779445265733678
BOGOTA;2016-06-01;CON HERIDOS;1741;21.817039872551394
BOGOTA;2016-06-01;CON MUERTOS;119;1.4912278833047765
BOGOTA;2016-06-01;SOLO DAÑOS;1962;24.58646308440312
BOGOTA;2016-07-01;CON HERIDOS;1733;21.716789258547713
BOGOTA;2016-07-01;CON MUERTOS;74;0.9273181795340627
BOGOTA;2016-07-01;SOLO DAÑOS;1953;24.473681143648978
BOGOTA;2016-08-01;CON HERIDOS;1821;22.81954601258822
BOGOTA;2016-08-01;CON MUERTOS;89;1.1152880807909673
BOGOTA;2016-08-01;SOLO DAÑOS;2106;26.390974136469406
BOGOTA;2016-09-01;CON HERIDOS;1878;23.533831637364457
BOGOTA;2016-09-01;CON MUERTOS;82;1.027568793537745
BOGOTA;2016-09-01;SOLO DAÑOS;2117;26.52881873072447
BOGOTA;2016-10-01;CON HERIDOS;1935;24.248117262140696
BOGOTA;2016-10-01;CON MUERTOS;89;1.1152880807909673
BOGOTA;2016-10-01;SOLO DAÑOS;2232;27.969921307027406
BOGOTA;2016-11-01;CON HERIDOS;1737;21.766914565549552
BOGOTA;2016-11-01;CON MUERTOS;63;0.7894735852789994
BOGOTA;2016-11-01;SOLO DAÑOS;2394;29.999996240601973
BOGOTA;2016-12-01;CON HERIDOS;1476;18.496238283679414
BOGOTA;2016-12-01;CON MUERTOS;72;0.9022555260331421
BOGOTA;2016-12-01;SOLO DAÑOS;2166;27.142853741497024
BOGOTA;2017-01-01;CON HERIDOS;1359;16.817779176990605
BOGOTA;2017-01-01;CON MUERTOS;55;0.6806312396868899
BOGOTA;2017-01-01;SOLO DAÑOS;1601;19.81255663161292
BOGOTA;2017-02-01;CON HERIDOS;1659;20.53031321164637
BOGOTA;2017-02-01;CON MUERTOS;93;1.1508855507432865
BOGOTA;2017-02-01;SOLO DAÑOS;2030;25.12148030117066
BOGOTA;2017-03-01;CON HERIDOS;1660;20.54268832509522
BOGOTA;2017-03-01;CON MUERTOS;72;0.891008168317383
BOGOTA;2017-03-01;SOLO DAÑOS;2262;27.99250662130445
BOGOTA;2017-04-01;CON HERIDOS;1454;17.993414954631596
BOGOTA;2017-04-01;CON MUERTOS;69;0.8538828279708254
BOGOTA;2017-04-01;SOLO DAÑOS;1876;23.21571283004737
BOGOTA;2017-05-01;CON HERIDOS;1789;22.1390779599972
BOGOTA;2017-05-01;CON MUERTOS;85;1.051884643152466
BOGOTA;2017-05-01;SOLO DAÑOS;2283;28.252384003730356
BOGOTA;2017-06-01;CON HERIDOS;1450;17.943914500836186
BOGOTA;2017-06-01;CON MUERTOS;82;1.0147593028059085
BOGOTA;2017-06-01;SOLO DAÑOS;1912;23.66121691420606
BOGOTA;2017-07-01;CON HERIDOS;1646;20.369436736811284
BOGOTA;2017-07-01;CON MUERTOS;73;0.9033832817662356
BOGOTA;2017-07-01;SOLO DAÑOS;1967;24.34184815389295
BOGOTA;2017-08-01;CON HERIDOS;1746;21.60694808169654
BOGOTA;2017-08-01;CON MUERTOS;72;0.891008168317383
BOGOTA;2017-08-01;SOLO DAÑOS;2050;25.36898257014771
BOGOTA;2017-09-01;CON HERIDOS;1747;21.61932319514539
